alcool,acidez_volatil,sulfatos,acido_citrico,qualidade_vinho
10.4,0.4,0.58,0.5,5
11.4,0.36,0.7,0.3,8
9.5,0.68,0.53,0.0,5
9.4,0.67,0.54,0.0,5
11.3,0.68,0.66,0.01,6
9.4,0.735,0.6,0.0,5
11.0,0.855,0.6,0.02,6
10.55,0.56,0.68,0.17,7
9.9,0.88,0.56,0.04,5
11.0,0.855,0.6,0.02,6
9.5,0.63,0.56,0.33,5
9.9,0.6,0.52,0.26,5
9.9,0.6,0.52,0.26,5
9.9,0.6,0.52,0.26,5
10.1,0.695,0.54,0.13,5
10.1,0.695,0.54,0.13,5
10.1,0.695,0.54,0.13,5
10.9,0.67,0.82,0.02,6
11.2,0.16,0.71,0.64,6
10.1,0.695,0.54,0.13,5
9.2,0.56,0.59,0.13,5
11.5,0.51,0.57,0.14,6
12.4,0.36,0.93,0.53,6
11.1,0.38,0.65,0.14,6
9.5,0.69,0.51,0.32,5
12.5,0.58,0.67,0.2,6
10.5,0.31,0.48,0.78,6
11.8,0.52,0.64,0.4,6
10.8,0.3,0.78,0.63,6
11.9,0.7,0.6,0.15,6
11.3,0.67,0.67,0.15,6
11.3,0.56,0.6,0.09,5
11.9,0.35,0.6,0.33,6
11.3,0.56,0.6,0.09,5
11.9,0.715,0.5,0.1,5
9.8,0.46,0.62,0.29,5
11.6,0.32,0.8,0.44,7
11.5,0.39,0.84,0.44,6
11.4,0.31,0.85,0.41,6
10.9,0.61,0.66,0.11,6
12.8,0.66,0.78,0.33,6
9.2,0.725,0.54,0.2,5
11.6,0.55,0.82,0.15,6
11.6,0.74,0.56,0.09,6
11.0,0.51,0.75,0.13,6
9.5,0.62,0.82,0.08,6
10.5,0.6,0.58,0.08,5
11.2,0.55,0.76,0.1,6
11.0,0.51,0.75,0.13,6
10.2,0.645,0.71,0.12,5
11.0,0.31,0.66,0.47,6
